Designator,Mid X,Mid Y,Rotation,Layer
D1,65.2,-14.5,270.0,top
D10,49.766666,-37.0,0.0,top
D11,58.050001,-37.0,0.0,top
D2,74.75,-24.05,90.0,top
D3,74.75,-32.6,90.0,top
D4,74.75,-41.0,90.0,top
D5,8.350001,-37.0,0.0,top
D6,16.633334,-37.0,0.0,top
D7,24.916667,-37.0,0.0,top
D8,33.2,-37.0,0.0,top
D9,41.483333,-37.0,0.0,top
J1,39.3,-7.2,180.0,top
Q1,67.9,-24.2,180.0,top
Q10,58.027501,-31.45,90.0,top
Q2,67.9,-32.7,180.0,top
Q3,67.9,-41.15,180.0,top
Q4,8.327501,-31.45,90.0,top
Q5,16.610834,-31.45,90.0,top
Q6,24.894167,-31.45,90.0,top
Q7,33.1775,-31.45,90.0,top
Q8,41.460833,-31.45,90.0,top
Q9,49.744166,-31.45,90.0,top
R1,74.75,-20.4,0.0,top
R10,35.3775,-39.9,90.0,top
R11,33.9775,-39.9,270.0,top
R12,43.660833,-39.9,90.0,top
R13,42.260833,-39.9,270.0,top
R14,51.944166,-39.9,90.0,top
R15,50.544166,-39.9,270.0,top
R16,60.227501,-39.9,90.0,top
R17,58.827501,-39.9,270.0,top
R2,74.75,-28.95,0.0,top
R3,74.75,-37.35,0.0,top
R4,10.527501,-39.9,90.0,top
R5,9.127501,-39.9,270.0,top
R6,18.810834,-39.9,90.0,top
R7,17.410834,-39.9,270.0,top
R8,27.094167,-39.9,90.0,top
R9,25.694167,-39.9,270.0,top
U1,8.5,-17.3,90.0,top
