Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C19, C2, C4, C5",0805,6,22uF,
"C10, C11, C12, C14, C16, C18, C3, C7, C8, C9",0402,10,100nF,
"C13, C15",0402,2,33pF,
C6,0805,1,10uF,
D1,D_MiniMELF,1,ZMM5V6-M,
D2,D_SMA,1,SS34,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_small,
L1,1008,1,3.3uH,
Q1,SOT-23,1,AO3401A,
"R1, R10, R11, R6, R9",0402,5,100k,
"R2, R3",0603,2,5k1,
"R4, R5",0603,2,22R,
R7,0402,1,33k,
R8,0402,1,10k,
SW1,SW_Push_1P1T_XKB_TS-1187A,1,Reset,
SW2,SW_Push_1P1T_XKB_TS-1187A,1,Boot,
TP1,Touch_pad_arrow,1,Touch 1,
TP10,TestPoint_Pad_D1.0mm,1,Touch 1,
TP11,TestPoint_Pad_D1.0mm,1,Touch 2,
TP2,Touch_pad_arrow,1,Touch 2,
TP3,TestPoint_Pad_D1.0mm,1,VCC,
TP4,TestPoint_Pad_D1.0mm,1,3V3,
TP5,TestPoint_Pad_D1.0mm,1,GND,
TP6,TestPoint_Pad_D1.0mm,1,TX,
TP7,TestPoint_Pad_D1.0mm,1,RX,
TP8,TestPoint_Pad_D1.0mm,1,Pot 1,
TP9,TestPoint_Pad_D1.0mm,1,Pot 2,
U1,TI_TPS562209,1,TPS562209,
"U3, U4",SOT23-6,2,TTP223-BA6,
"U5, U6",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,2,DRV8220,
