Designator,Mid X,Mid Y,Rotation,Layer
C1,140.5,-108.5,180.0,top
C10,136.9,-112.7,270.0,top
C11,138.5,-112.7,270.0,top
C12,163.0,-135.4,180.0,top
C13,161.1,-132.4,90.0,top
C14,157.6,-135.4,180.0,top
C15,155.7,-132.4,90.0,top
C16,164.0,-122.6,180.0,top
C17,164.0,-124.3,0.0,top
C18,164.1,-108.7,180.0,top
C19,164.1,-110.4,0.0,top
C2,162.11,-93.3,0.0,top
C3,164.61,-99.0,90.0,top
C4,157.41,-99.5,180.0,top
C5,157.41,-101.7,180.0,top
C6,132.4,-136.0,180.0,top
C7,136.55,-136.0,270.0,top
C8,139.1,-136.0,270.0,top
C9,154.3,-113.4,270.0,top
D1,139.5,-105.4775,180.0,top
D2,142.5,-95.0,90.0,top
J3,132.89,-93.895,180.0,top
L1,157.41,-96.2,270.0,top
Q1,138.5,-101.8,270.0,top
R1,137.5,-108.5,270.0,top
R10,154.3,-111.2,270.0,top
R11,154.0,-135.4,0.0,top
R2,139.5,-93.0,270.0,top
R3,139.5,-96.5,270.0,top
R4,151.0,-135.4,180.0,top
R5,146.6,-135.5,180.0,top
R6,159.61,-97.0,270.0,top
R7,160.61,-101.0,0.0,top
R8,162.81,-101.0,0.0,top
R9,137.8,-136.0,90.0,top
SW1,158.075,-125.0,90.0,top
SW2,158.1,-113.1,270.0,top
TP1,150.0,-97.5,0.0,bottom
TP2,150.0,-128.5,180.0,bottom
U1,162.11,-98.0,270.0,top
U3,163.5,-132.4,180.0,top
U4,158.1,-132.4,180.0,top
U5,164.0,-120.6,180.0,top
U6,163.95,-106.65,180.0,top
